analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
TIC,Total inorganic carbon,Total inorganic carbon,6,12.011,wtpct,tic,carbon,TRUE,TRUE,NULL,TIC (wt%),NULL,24,NULL
TOC,Total organic carbon,Total organic carbon,6,12.011,wtpct,toc,carbon,TRUE,TRUE,NULL,TOC (wt%),NULL,23,NULL
TOC_KER,TOC kerogen,Total organic carbon after kerogen extraction,NULL,NULL,wtpct,toc_ker,carbon,FALSE,FALSE,NULL,TOC-ker (wt%),NULL,NULL,NULL
TOM,Total organic matter,Total organic matter,NULL,NULL,wtpct,tom,carbon,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
T_Nd_CHUR,NULL,NULL,NULL,NULL,NULL,t_nd_chur,NULL,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
T_Nd_Cont,NULL,NULL,NULL,NULL,NULL,t_nd_cont,NULL,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
T_Nd_DM,NULL,Depleted mantle model ages,NULL,NULL,NULL,t_nd_dm,NULL,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Ta,Tantalum,Tantalum,73,180.948,ppm,ta,element,TRUE,TRUE,NULL,Ta (ppm),NULL,208,NULL
Ta-carb,Ta from the carbonate fraction,"Tantalum extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,ta_carb,carbonate_proxy,FALSE,TRUE,NULL,Ta-carb (ppm),NULL,87,NULL
Talc,Talc,Talc,NULL,NULL,wtpct,talc,mineralogy_composition,FALSE,TRUE,NULL,Talc (wt%),NULL,293,NULL
Tb,Terbium,Terbium,65,158.925,ppm,tb,element,TRUE,TRUE,NULL,Tb (ppm),NULL,209,NULL
Tb-auth,Tb from authigenic fraction,Authigenic terbium after light leach on shale,NULL,NULL,ppm,tb_auth,authigenic_proxy,FALSE,FALSE,NULL,Tb-auth (ppm),NULL,NULL,NULL
Tb-carb,Tb from the carbonate fraction,"Terbium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,tb_carb,carbonate_proxy,FALSE,TRUE,NULL,Tb-carb (ppm),NULL,88,NULL
Tc,Technetium,Technetium,43,98.906,N/A,tc,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Te,Tellurium,Tellurium,52,127.6,ppm,te,element,TRUE,TRUE,NULL,Te (ppm),NULL,210,NULL
Tennantite,Tennantite,Tennantite,NULL,NULL,wtpct,tennantite,mineralogy_composition,FALSE,FALSE,NULL,Tennantite (wt%),NULL,NULL,NULL
Th,Thorium,Thorium,90,232.038,ppm,th,element,TRUE,TRUE,NULL,Th (ppm),NULL,211,NULL
Th-auth,Th from authigenic fraction,Authigenic thorium after light leach on shale,NULL,NULL,ppm,th_auth,authigenic_proxy,FALSE,FALSE,NULL,Th-auth (ppm),NULL,NULL,NULL
Th-carb,Th from the carbonate fraction,"Thorium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,th_carb,carbonate_proxy,FALSE,TRUE,NULL,Th-carb (ppm),NULL,89,NULL
Th232_U238,232Th/238U,ratio of thorium isotope Th232 to uranium isotope U238,NULL,NULL,none,th232_u238,metal_isotope,FALSE,FALSE,NULL,Th232/U238,NULL,NULL,NULL
Ti,Titanium,Titanium,22,47.88,wtpct,ti,element,TRUE,TRUE,NULL,Ti (wt%),NULL,212,NULL
Ti-auth,Ti from authigenic fraction,Authigenic titanium after light leach on shale,NULL,NULL,wtpct,ti_auth,authigenic_proxy,FALSE,FALSE,NULL,Ti-auth (wt%),NULL,NULL,NULL
Ti-carb,Ti from the carbonate fraction,"Titanium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,wtpct,ti_carb,carbonate_proxy,FALSE,TRUE,NULL,Ti-carb (wt%),NULL,90,NULL
